startt_uid,company-name,match_industry,match_sector,match_subsector
st-c-3438,Myonsto,Retail & Digital Commerce,Quick Commerce,Grocery Quick Delivery
st-c-3439,myPaisaa,Financial Services & FinTech,Investment & Wealth Tech,Stock Trading Apps
st-c-3440,MyPetrolPump,Technology & Digital Innovation,Emerging Technologies,Internet of Things
st-c-3441,MyPoolin,Financial Services & FinTech,Web3 & Emerging Tech,Tokenization Platforms
st-c-3442,Myra,Healthcare & Life Sciences (MedTech & Biotech),Healthcare Providers & Services,Telemedicine Services
st-c-3443,MyRefers,Technology & Digital Innovation,Cloud Computing & Infrastructure,Cloud Storage Solutions
st-c-3444,MyScoot,Transportation & Logistics,Transportation Services,Car & Bike Rental Platforms
st-c-3446,MyShubhLife,Technology & Digital Innovation,Enterprise Software & Services,Customer Relationship Management
st-c-3447,MySmartPrice,Retail & Digital Commerce,Niche E-Commerce Platforms,Luxury & Premium Goods Marketplaces
st-c-3448,Mystifly,Professional & Business Services,Office & Facilities Management,Business Travel Platforms
st-c-3449,MySUN,Energy & Utilities,Energy Technology & Innovation,Energy Trading Platforms
st-c-3450,MySuperBrain,Education & EdTech,EdTech,E-Learning Platforms
st-c-3451,MyUpchar,Healthcare & Life Sciences (MedTech & Biotech),Healthcare Technology,Health Information Exchange
st-c-3454,MyyHashstash,Consumer Goods & Services,Consumer Electronics,Gaming Devices & Accessories
st-c-3455,MyySports,Entertainment & Media,Media Production & Distribution,OTT Platforms
st-c-3456,NAAGIN,Food & Beverage,Food Products & Processing,Food Processing Technology
st-c-3457,Naapbooks,Financial Services & FinTech,Payments & Transaction Services,Remittance Platforms
st-c-3460,Nactus,Education & EdTech,EdTech,E-Learning Platforms
st-c-3461,Nagpur Wholesale,Automotive & Components,Automotive Technology,Autonomous Vehicles (AV Tech)
st-c-3462,NAKAD,Technology & Digital Innovation,Emerging Technologies,Blockchain & Web3
st-c-3463,Namaste Credit,Financial Services & FinTech,Financial Infrastructure,API Banking
st-c-3464,Nanoclean,CleanTech & Sustainability,Waste Management & Recycling,Solid Waste Collection & Processing
st-c-3465,Nanonets,Technology & Digital Innovation,Artificial Intelligence,Machine Learning
st-c-3466,Nanosniff,Healthcare & Life Sciences (MedTech & Biotech),Consumer Health & Wellness,Health Monitoring Platforms
st-c-3471,Nat Habit,Consumer Goods & Services,Personal Products,Skincare & Cosmetics (D2C Beauty)
st-c-3474,Native Special,Consumer Goods & Services,Personal Products,Ayurvedic & Natural Products
st-c-3475,Native5,Technology & Digital Innovation,Enterprise Software & Services,Industry-Specific Software (Vertical SaaS)
st-c-3476,Naturally Yours,Consumer Goods & Services,Personal Products,Ayurvedic & Natural Products
st-c-3477,Nature's Fresh Express,Food & Beverage,Food & Beverage Technology,Food Delivery Platforms
st-c-3478,NatureNama,CleanTech & Sustainability,ClimateTech,Biodiversity & Ecosystem Conservation
st-c-3479,Nautical Wings Aerospace,Automotive & Components,Vehicle Manufacturing & OEMs,Electric & Hybrid Vehicles (EVs)
st-c-3480,Nautilus Mobile,Entertainment & Media,Gaming & Interactive Media,"Mobile, PC and Console Gaming"
st-c-3481,Navadhan Capital,Financial Services & FinTech,Digital Lending & Neobanks,Education Loans & Financing
st-c-3482,Navanc,Financial Services & FinTech,Financial Infrastructure,Credit Scoring & Analytics
st-c-3485,Navia Life Care,Healthcare & Life Sciences (MedTech & Biotech),Consumer Health & Wellness,Health Monitoring Platforms
st-c-3486,Navikenz,Technology & Digital Innovation,Enterprise Software & Services,IT Infrastructure Management
st-c-3487,Nawgati,Financial Services & FinTech,Payments & Transaction Services,UPI / QR Code Payments
st-c-3488,Nayagaadi,Consumer Goods & Services,Personal Products,Ayurvedic & Natural Products
st-c-3489,Nayam Innovations,Healthcare & Life Sciences (MedTech & Biotech),Healthcare Technology,Patient Engagement Platforms
st-c-3490,Nayi Disha Studios,Education & EdTech,EdTech,Educational Analytics & Assessment Tech
st-c-3491,Nazara Technologies,Entertainment & Media,Gaming & Interactive Media,"Mobile, PC and Console Gaming"
st-c-3493,NE Origins,Consumer Goods & Services,Personal Products,Ayurvedic & Natural Products
st-c-3494,Near.in,Technology & Digital Innovation,Emerging Technologies,Blockchain & Web3
st-c-3495,Near.Store,Retail & Digital Commerce,Quick Commerce,Hyperlocal Delivery Networks
st-c-3497,NearFox,Retail & Digital Commerce,Quick Commerce,Hyperlocal Delivery Networks
st-c-3498,NearU,Technology & Digital Innovation,Hardware & Semiconductors,Mobile Devices & Components
st-c-3499,Neem Ayurveda,Consumer Goods & Services,Personal Products,Ayurvedic & Natural Products
st-c-3500,Neemans,Healthcare & Life Sciences (MedTech & Biotech),Healthcare Equipment & Supplies,Surgical Instruments & Supplies
st-c-3501,Neemli Naturals,Consumer Goods & Services,Personal Products,Ayurvedic & Natural Products
st-c-3503,NEETprep,Healthcare & Life Sciences (MedTech & Biotech),Healthcare Technology,Medical Imaging Software
st-c-3504,Nektar.ai,Technology & Digital Innovation,Artificial Intelligence,AI Agents
st-c-3505,Nemocare Wellness,Healthcare & Life Sciences (MedTech & Biotech),Consumer Health & Wellness,Health Monitoring Platforms
st-c-3506,Neo Asset Management,Financial Services & FinTech,Investment & Wealth Tech,Wealth Management Solutions
st-c-3507,NeoDocs,Healthcare & Life Sciences (MedTech & Biotech),Consumer Health & Wellness,Health Monitoring Platforms
st-c-3508,NeoDove,Technology & Digital Innovation,Cloud Computing & Infrastructure,Data Centers & Hosting
st-c-3509,NEOGROWTH CREDIT,Financial Services & FinTech,Digital Lending & Neobanks,Education Loans & Financing
st-c-3510,Neokred,Financial Services & FinTech,Financial Infrastructure,API Banking
st-c-3512,NeoStencil,Education & EdTech,EdTech,E-Learning Platforms
st-c-3513,Neotrade Analytics,Financial Services & FinTech,Investment & Wealth Tech,Stock Trading Apps
st-c-3514,Neowise Technologies,Financial Services & FinTech,Digital Lending & Neobanks,Digital Banking Platforms
st-c-3517,Neso Brands,Healthcare & Life Sciences (MedTech & Biotech),Consumer Health & Wellness,Telehealth Infrastructure
st-c-3519,Nestasia,Consumer Goods & Services,Household Products,Home Textiles & Furnishings
st-c-3520,NestAway,"Travel, Hospitality & Experiences",TravelTech,Alternative Accommodation Marketplaces
st-c-3521,Nestroots,Financial Services & FinTech,Investment & Wealth Tech,Financial Education
st-c-3522,Netcore Cloud,Technology & Digital Innovation,Artificial Intelligence,AI Agents
st-c-3523,Netmeds,Healthcare & Life Sciences (MedTech & Biotech),Healthcare Providers & Services,Telemedicine Services
st-c-3524,Netradyne,Transportation & Logistics,Logistics,Fleet Management SaaS
st-c-3525,Network Intelligence,Telecommunications,Network AI & Automation,Network Analytics & Optimization
st-c-3526,Neuphony,Healthcare & Life Sciences (MedTech & Biotech),Consumer Health & Wellness,Health Monitoring Platforms
st-c-3527,NeuralGarage,Entertainment & Media,Media Production & Distribution,Animation & Visual Effects
st-c-3528,NeuroLeap,Technology & Digital Innovation,Artificial Intelligence,Machine Learning
st-c-3529,Neuron,Technology & Digital Innovation,Artificial Intelligence,Machine Learning
st-c-3531,NeuroPixel.AI,Retail & Digital Commerce,Retail Technology,Inventory Management Systems
st-c-3533,NeuroSynaptic,Healthcare & Life Sciences (MedTech & Biotech),Healthcare Technology,Remote Patient Monitoring
st-c-3534,Neverinstall,Technology & Digital Innovation,Cloud Computing & Infrastructure,Cloud Storage Solutions
st-c-3535,New Leaf Dynamic Technologies,Energy & Utilities,Energy Technology & Innovation,Distributed Energy Resources
st-c-3536,New Street Technologies,Technology & Digital Innovation,Emerging Technologies,Blockchain & Web3
st-c-3537,Newcastle Technologies,Healthcare & Life Sciences (MedTech & Biotech),Healthcare Providers & Services,Telemedicine Services
st-c-3538,Newgen Payments,Retail & Digital Commerce,Niche E-Commerce Platforms,Luxury & Premium Goods Marketplaces
st-c-3540,NewsBytes,Entertainment & Media,Social & Digital Media,Digital News & Information
st-c-3541,Newsdash,Technology & Digital Innovation,Emerging Technologies,5G Applications
st-c-3542,NewsDog,Technology & Digital Innovation,Artificial Intelligence,Machine Learning
st-c-3543,NewsLaundry,Entertainment & Media,Social & Digital Media,Digital News & Information
st-c-3544,NewSpace Research & Technologies,Technology & Digital Innovation,Emerging Technologies,Robotics Software
st-c-3545,Newspatrolling,Retail & Digital Commerce,E-commerce,Social Commerce
st-c-3546,NewsReach India,Entertainment & Media,Social & Digital Media,Content Aggregation & Distribution
st-c-3547,Newton School,Education & EdTech,EdTech,E-Learning Platforms
st-c-3548,Newtrace,CleanTech & Sustainability,Renewable Energy,Hydrogen Energy Solutions
st-c-3549,Newtral.io,Technology & Digital Innovation,Data & Analytics,Business Intelligence
st-c-3550,Nexprt,Textiles & Apparel,FashionTech,3D Design & Modeling Tools
st-c-3551,NextBillionAI,Technology & Digital Innovation,Artificial Intelligence,Machine Learning
st-c-3552,NextGen,Healthcare & Life Sciences (MedTech & Biotech),Life Sciences & BioTech,Genomics & Proteomics
st-c-3553,NextWave Multimedia,Entertainment & Media,Gaming & Interactive Media,"Mobile, PC and Console Gaming"
st-c-3554,NFTICALLY,Retail & Digital Commerce,Niche E-Commerce Platforms,Luxury & Premium Goods Marketplaces
st-c-3555,ngpay,Financial Services & FinTech,Payments & Transaction Services,Digital Payment Solutions
st-c-3556,Nhance,Technology & Digital Innovation,Emerging Technologies,5G Applications
st-c-3559,NightStay,"Travel, Hospitality & Experiences",TravelTech,Alternative Accommodation Marketplaces
st-c-3560,Niki,Technology & Digital Innovation,Artificial Intelligence,AI Agents
st-c-3561,NIKOL EV,Automotive & Components,Automotive Technology,EV Charging Infrastructure
st-c-3562,Nimbbl,Entertainment & Media,Social & Digital Media,Social Media Platforms
st-c-3563,Nimble Wireless,Telecommunications,Connectivity Solutions,IoT & M2M Connectivity
st-c-3564,nimbuspost,Technology & Digital Innovation,Artificial Intelligence,AI Infrastructure & Tools
st-c-3566,Ninjacart,Retail & Digital Commerce,Supply Chain & Distribution,Logistics Tech for Retail
st-c-3567,NIRA,Technology & Digital Innovation,Enterprise Software & Services,Customer Relationship Management
st-c-3568,NIRAMAI,Healthcare & Life Sciences (MedTech & Biotech),Consumer Health & Wellness,AI Diagnostics
st-c-3569,Niramaya Path Labs,Healthcare & Life Sciences (MedTech & Biotech),Life Sciences & BioTech,Laboratory Services
st-c-3570,Nirmata,Technology & Digital Innovation,Cloud Computing & Infrastructure,Cloud Storage Solutions
st-c-3571,Niro,Technology & Digital Innovation,Enterprise Software & Services,Customer Relationship Management
st-c-3572,NirogStreet,Healthcare & Life Sciences (MedTech & Biotech),Pharmaceuticals,Ayurveda & Alternative Medicine
st-c-3573,Nirvana.work,Technology & Digital Innovation,Artificial Intelligence,Machine Learning
st-c-3575,Nium,Financial Services & FinTech,Payments & Transaction Services,Remittance Platforms
st-c-3576,Nivaasa,Real Estate & Construction,Smart Building Solutions,Smart Home/Office Technology
st-c-3577,Nivesh,Financial Services & FinTech,Investment & Wealth Tech,Personal Finance Management
st-c-3578,NiYO Solutions,Financial Services & FinTech,Investment & Wealth Tech,Personal Finance Management
st-c-3579,NKure Therapeutics,Healthcare & Life Sciences (MedTech & Biotech),Pharmaceuticals,Ayurveda & Alternative Medicine
st-c-3580,Nobel Hygiene,Consumer Goods & Services,Household Products,Home Textiles & Furnishings
st-c-3581,Noble House,Professional & Business Services,Consulting & Advisory Services,HR & Recruitment Services
st-c-3582,NoBroker,Real Estate & Construction,PropTech,Real Estate Transaction Platforms
st-c-3583,NoCap Meta,Entertainment & Media,Social & Digital Media,Metaverse Platforms & Virtual Worlds
st-c-3585,NODWIN Gaming,Consumer Goods & Services,Consumer Electronics,Gaming Devices & Accessories
st-c-3587,Noise,Consumer Goods & Services,Consumer Electronics,Computing & Smart Devices
st-c-3588,Nona Lifestyle,Retail & Digital Commerce,Retail Technology,Inventory Management Systems
st-c-3589,Noodle Play,Retail & Digital Commerce,Quick Commerce,Food Quick Delivery
st-c-3591,NoPo Nanotechnologies,Technology & Digital Innovation,Hardware & Semiconductors,Semiconductor
st-c-3592,Nosh,Food & Beverage,Food & Beverage Technology,Kitchen Automation
st-c-3593,NostraGamus,Entertainment & Media,Social & Digital Media,Metaverse Platforms & Virtual Worlds
st-c-3594,Notesgen,Education & EdTech,EdTech,E-Learning Platforms
st-c-3595,NOTICE BOARD,Telecommunications,Connectivity Solutions,IoT & M2M Connectivity
st-c-3596,Notion Press,Retail & Digital Commerce,Niche E-Commerce Platforms,Luxury & Premium Goods Marketplaces
st-c-3598,Nourish You,Healthcare & Life Sciences (MedTech & Biotech),Consumer Health & Wellness,Telehealth Infrastructure
st-c-3599,Nova Benefits,Healthcare & Life Sciences (MedTech & Biotech),Consumer Health & Wellness,Health Monitoring Platforms
st-c-3600,Novique Health,Healthcare & Life Sciences (MedTech & Biotech),Consumer Health & Wellness,Health Monitoring Platforms
st-c-3601,NowFloats,Technology & Digital Innovation,Enterprise Software & Services,Industry-Specific Software (Vertical SaaS)
st-c-3602,NowPurchase,Manufacturing & Industry 4.0,Industrial Machinery & Equipment,Material Handling Systems
st-c-3603,NRI HelpLine,Technology & Digital Innovation,Enterprise Software & Services,Enterprise Resource Planning
st-c-3604,Nu Genes,Agriculture & AgriTech,Agricultural Inputs & Services,Seeds & Plant Breeding
st-c-3605,Nua,Consumer Goods & Services,Personal Products,Ayurvedic & Natural Products
st-c-3606,Nucros Science & Taste,Food & Beverage,Food & Beverage Technology,Food Delivery Platforms
st-c-3608,Nukkad Shops,Retail & Digital Commerce,Retail Technology,Point-of-Sale Solutions
st-c-3609,Numadic,Technology & Digital Innovation,Enterprise Software & Services,Enterprise Resource Planning
st-c-3610,NumberMall,Retail & Digital Commerce,Retail Technology,Inventory Management Systems
st-c-3611,numberz,Financial Services & FinTech,Payments & Transaction Services,Payment Gateways
st-c-3612,Nume Crypto,Financial Services & FinTech,Payments & Transaction Services,Payment Gateways
st-c-3613,Numocity,Technology & Digital Innovation,Emerging Technologies,Internet of Things
st-c-3614,Nupay,Financial Services & FinTech,Financial Infrastructure,API Banking
st-c-3617,Nurturing Green,Retail & Digital Commerce,Retail Technology,Inventory Management Systems
st-c-3618,Nutrabay,Healthcare & Life Sciences (MedTech & Biotech),Consumer Health & Wellness,Health Apps & Mobile Health
st-c-3619,Nutrifresh,Agriculture & AgriTech,AgriTech,Precision Agriculture & IoT
st-c-3620,Nutrify Today,Technology & Digital Innovation,Artificial Intelligence,Machine Learning
st-c-3621,Nutriglow Cosmetics,Consumer Goods & Services,Personal Products,Skincare & Cosmetics (D2C Beauty)
st-c-3622,NutriMoo,Food & Beverage,Food Products & Processing,Organic & Natural Foods
st-c-3623,NutriSattva,Food & Beverage,Food Products & Processing,Plant-based & Alternative Proteins
st-c-3624,NutriTap,Healthcare & Life Sciences (MedTech & Biotech),Consumer Health & Wellness,Telehealth Infrastructure
st-c-3625,Nutrizoe,Food & Beverage,Food & Beverage Technology,Smart Packaging
st-c-3626,Nutrova,Consumer Goods & Services,Personal Products,Ayurvedic & Natural Products
st-c-3627,Nutty Yogi,Consumer Goods & Services,Personal Products,Ayurvedic & Natural Products
st-c-3629,Nuvepro,Education & EdTech,EdTech,Learning Management Systems
st-c-3630,NuvoEx,Retail & Digital Commerce,Supply Chain & Distribution,Logistics Tech for Retail
st-c-3631,NXTGEN DATACENTER,Technology & Digital Innovation,Cloud Computing & Infrastructure,Data Centers & Hosting
st-c-3634,Nykaa,Retail & Digital Commerce,Niche E-Commerce Platforms,Luxury & Premium Goods Marketplaces
st-c-3635,Nysha Mobility,Automotive & Components,Automotive Technology,Vehicle Telematics & Diagnostics
st-c-3637,O'hi App,Food & Beverage,Food & Beverage Technology,Restaurant Management Software
st-c-3638,O4S,Technology & Digital Innovation,Cloud Computing & Infrastructure,Data Centers & Hosting
st-c-3639,OATEY,Agriculture & AgriTech,Agricultural Produce,Organic & Specialized Farming
st-c-3640,Oben Electric,Automotive & Components,Vehicle Manufacturing & OEMs,Electric & Hybrid Vehicles (EVs)
st-c-3641,Obino,Healthcare & Life Sciences (MedTech & Biotech),Consumer Health & Wellness,Health Apps & Mobile Health
st-c-3642,OBOPAY,Retail & Digital Commerce,E-commerce,Mobile Commerce
st-c-3643,Observe.AI,Technology & Digital Innovation,Data & Analytics,Data Processing & Management
st-c-3645,Obviously AI,Technology & Digital Innovation,Data & Analytics,Predictive Analytics
st-c-3646,OckyPocky,Education & EdTech,EdTech,Educational Apps & Mobile Learning
st-c-3647,Octanom Tech,Financial Services & FinTech,Investment & Wealth Tech,Stock Trading Apps
st-c-3648,Octo.ai,Technology & Digital Innovation,Artificial Intelligence,AI Agents
st-c-3649,OCTOPOD,Education & EdTech,EdTech,Educational Apps & Mobile Learning
st-c-3650,ODA Class,Education & EdTech,EdTech,Educational Apps & Mobile Learning
st-c-3651,Odd-Even.com,Transportation & Logistics,Transportation Services,Car & Bike Rental Platforms
st-c-3653,Odex,Retail & Digital Commerce,Supply Chain & Distribution,Logistics Tech for Retail
st-c-3654,oDoc,Healthcare & Life Sciences (MedTech & Biotech),Consumer Health & Wellness,Telehealth Infrastructure
st-c-3655,Odwen,Retail & Digital Commerce,Niche E-Commerce Platforms,Luxury & Premium Goods Marketplaces
st-c-3656,OfBusiness,Manufacturing & Industry 4.0,Building & Construction Products,Building Materials Manufacturing
st-c-3658,Offee,Education & EdTech,EdTech,Educational Analytics & Assessment Tech
st-c-3661,Officepulse,Technology & Digital Innovation,Enterprise Software & Services,Business Management Software
st-c-3662,Offline,"Travel, Hospitality & Experiences",TravelTech,Trip Planning & Itinerary Solutions
st-c-3664,ofScale,Retail & Digital Commerce,Supply Chain & Distribution,Warehouse Management Systems
st-c-3665,Oga Fit,Healthcare & Life Sciences (MedTech & Biotech),Consumer Health & Wellness,Wellness & Fitness Technology
st-c-3666,Oglas,Technology & Digital Innovation,Emerging Technologies,5G Applications
st-c-3667,Ohm Mobility,Automotive & Components,Automotive Technology,EV Charging Infrastructure
st-c-3669,Oi Media,Technology & Digital Innovation,Enterprise Software & Services,Industry-Specific Software (Vertical SaaS)
st-c-3670,OkayGo,"Travel, Hospitality & Experiences",TravelTech,Alternative Accommodation Marketplaces
st-c-3671,OkCredit,Technology & Digital Innovation,Enterprise Software & Services,Business Management Software
st-c-3672,Okie Gaming,Consumer Goods & Services,Consumer Electronics,Gaming Devices & Accessories
st-c-3674,Ola Electric,Technology & Digital Innovation,Artificial Intelligence,Conversational AI & Chatbots
st-c-3675,Ola Fleet Technologies,Technology & Digital Innovation,Enterprise Software & Services,Industry-Specific Software (Vertical SaaS)
st-c-3677,OlaMoney,Financial Services & FinTech,Web3 & Emerging Tech,Open Banking Platforms
st-c-3678,Oliva,Healthcare & Life Sciences (MedTech & Biotech),Consumer Health & Wellness,Telehealth Infrastructure
st-c-3679,Oliveboard,Education & EdTech,EdTech,E-Learning Platforms
st-c-3680,Olly,Retail & Digital Commerce,Retail Technology,ONDC
st-c-3682,Om Bhakti,Consumer Goods & Services,Personal Products,Ayurvedic & Natural Products
st-c-3683,OmiX Labs,Healthcare & Life Sciences (MedTech & Biotech),Life Sciences & BioTech,Laboratory Services
st-c-3685,Omnify,Technology & Digital Innovation,Cloud Computing & Infrastructure,Data Centers & Hosting
st-c-3686,Omnikart,Manufacturing & Industry 4.0,Industrial Machinery & Equipment,Industrial Tools & Components
st-c-3687,Omnivio,Technology & Digital Innovation,Enterprise Software & Services,Industry-Specific Software (Vertical SaaS)
st-c-3688,OMTV,Entertainment & Media,Media Production & Distribution,OTT Platforms
st-c-3689,Omuni (Arvind Internet),Retail & Digital Commerce,Retail Technology,ONDC
st-c-3691,OnArrival,"Travel, Hospitality & Experiences",TravelTech,Alternative Accommodation Marketplaces
st-c-3694,Onco,Healthcare & Life Sciences (MedTech & Biotech),Healthcare Technology,Patient Engagement Platforms
st-c-3695,OncoStem,Healthcare & Life Sciences (MedTech & Biotech),Consumer Health & Wellness,AI Diagnostics
st-c-3697,One Good,Food & Beverage,Food Products & Processing,Plant-based & Alternative Proteins
st-c-3698,One Impression,Technology & Digital Innovation,Cloud Computing & Infrastructure,Data Centers & Hosting
st-c-3699,One Labs,Technology & Digital Innovation,Emerging Technologies,Internet of Things
st-c-3700,One way cab,Transportation & Logistics,Transportation Services,Ride-hailing & Taxi Services
st-c-3701,One World Nation,Financial Services & FinTech,Web3 & Emerging Tech,Blockchain & Cryptocurrency
st-c-3702,OneAssist,Financial Services & FinTech,InsurTech,Digital Insurance Platforms
st-c-3703,OneAssure,Financial Services & FinTech,InsurTech,Digital Insurance Platforms
st-c-3704,OneCard,Financial Services & FinTech,Payments & Transaction Services,UPI / QR Code Payments
st-c-3705,OneCare,Healthcare & Life Sciences (MedTech & Biotech),Consumer Health & Wellness,Health Apps & Mobile Health
st-c-3706,OneClickWash,Textiles & Apparel,Sustainable Textiles,Recycling & Upcycling Solutions
st-c-3707,OneCode,Retail & Digital Commerce,Retail Technology,ONDC
st-c-3708,Onedios,Retail & Digital Commerce,Retail Technology,ONDC
st-c-3709,OneDirect,Healthcare & Life Sciences (MedTech & Biotech),Consumer Health & Wellness,Telehealth Infrastructure
st-c-3710,Onefitplus,Healthcare & Life Sciences (MedTech & Biotech),Consumer Health & Wellness,Wellness & Fitness Technology
st-c-3711,OneGreen,Retail & Digital Commerce,Niche E-Commerce Platforms,Luxury & Premium Goods Marketplaces
st-c-3712,OneIndia | Greynium Information Technologies Pvt Ltd,Entertainment & Media,Social & Digital Media,Metaverse Platforms & Virtual Worlds
st-c-3713,Oneiric Gaming,Entertainment & Media,Gaming & Interactive Media,"Mobile, PC and Console Gaming"
st-c-3714,Oneistox,Education & EdTech,Vocational & Skills Training,Professional Certification Programs
st-c-3715,OneLoyalCard,Retail & Digital Commerce,Retail Technology,ONDC
st-c-3716,OneMoney,Technology & Digital Innovation,Enterprise Software & Services,Customer Relationship Management
st-c-3717,ONEPLAY,Technology & Digital Innovation,Enterprise Software & Services,Industry-Specific Software (Vertical SaaS)
st-c-3718,OneRare,Agriculture & AgriTech,Agricultural Supply Chain,Farm-to-Consumer Platforms
st-c-3720,OneStack,Financial Services & FinTech,Digital Lending & Neobanks,Education Loans & Financing
st-c-3721,Onet,Entertainment & Media,Media Production & Distribution,OTT Platforms
st-c-3722,OneTo11,Entertainment & Media,Social & Digital Media,Metaverse Platforms & Virtual Worlds
st-c-3723,OnFinance Ai,Financial Services & FinTech,Investment & Wealth Tech,Stock Trading Apps
st-c-3725,Online Prasad,Retail & Digital Commerce,Niche E-Commerce Platforms,Luxury & Premium Goods Marketplaces
st-c-3726,Online RTI,Technology & Digital Innovation,Enterprise Software & Services,IT Infrastructure Management
st-c-3727,OnlineTyari,Education & EdTech,EdTech,E-Learning Platforms
st-c-3728,ONN Bikes,Transportation & Logistics,Transportation Services,Car & Bike Rental Platforms
st-c-3729,Onsite,Technology & Digital Innovation,Enterprise Software & Services,Business Management Software
st-c-3730,OnsiteGo,Retail & Digital Commerce,Retail Technology,ONDC
st-c-3731,ONSPON,Retail & Digital Commerce,Retail Technology,ONDC
st-c-3732,Onsurity,Healthcare & Life Sciences (MedTech & Biotech),Consumer Health & Wellness,Telehealth Infrastructure
st-c-3733,ONWO,Retail & Digital Commerce,Niche E-Commerce Platforms,Luxury & Premium Goods Marketplaces
st-c-3734,Oorja Development Solutions,Energy & Utilities,Energy Technology & Innovation,Distributed Energy Resources
st-c-3735,Oorjaa,Retail & Digital Commerce,Supply Chain & Distribution,Logistics Tech for Retail
st-c-3736,Oorjan,Energy & Utilities,Energy Technology & Innovation,Energy Trading Platforms
st-c-3737,OPEN,Financial Services & FinTech,Web3 & Emerging Tech,Open Banking Platforms
st-c-3738,Open Money,Financial Services & FinTech,Web3 & Emerging Tech,Open Banking Platforms
st-c-3739,Open Secret,Consumer Goods & Services,Fast-Moving Consumer Goods (FMCG),Convenience Goods
st-c-3740,OpenPlay Tehnologies,Professional & Business Services,Office & Facilities Management,Business Travel Platforms
st-c-3742,OpenTap,Healthcare & Life Sciences (MedTech & Biotech),Healthcare Technology,Remote Patient Monitoring
st-c-3744,Opfin,Financial Services & FinTech,Investment & Wealth Tech,Wealth Management Solutions
st-c-3745,Opinio,Retail & Digital Commerce,Retail Technology,Omnichannel Retail Solutions
st-c-3746,Oplifi,Technology & Digital Innovation,Emerging Technologies,Internet of Things
st-c-3747,OpsLyft,Technology & Digital Innovation,Cloud Computing & Infrastructure,Cloud Platforms & Infrastructure
st-c-3748,OptaCredit,Financial Services & FinTech,Digital Lending & Neobanks,Education Loans & Financing
st-c-3749,Optimized Electrotech,Technology & Digital Innovation,Artificial Intelligence,Computer Vision
st-c-3750,OptIQ,Technology & Digital Innovation,Cloud Computing & Infrastructure,Data Centers & Hosting
st-c-3752,Orahi,Technology & Digital Innovation,Emerging Technologies,Internet of Things
st-c-3753,ORAI ROBOTICS,Technology & Digital Innovation,Artificial Intelligence,Conversational AI & Chatbots
st-c-3754,Orange Health,Healthcare & Life Sciences (MedTech & Biotech),Healthcare Technology,Remote Patient Monitoring
st-c-3755,Orange Renewable,Energy & Utilities,Energy Technology & Innovation,Distributed Energy Resources
st-c-3757,OrbEnergy,Energy & Utilities,Energy Technology & Innovation,Distributed Energy Resources
st-c-3758,Orbo,Technology & Digital Innovation,Artificial Intelligence,Computer Vision
st-c-3759,Organic Harvest,Agriculture & AgriTech,Agricultural Produce,Organic & Specialized Farming
st-c-3760,Organic Shop,Consumer Goods & Services,Personal Products,Ayurvedic & Natural Products
st-c-3761,Origa,Healthcare & Life Sciences (MedTech & Biotech),Consumer Health & Wellness,Healthcare Marketplaces
st-c-3762,Origa.ai,Technology & Digital Innovation,Artificial Intelligence,AI Agents
st-c-3763,ORight,Technology & Digital Innovation,Emerging Technologies,Internet of Things
st-c-3765,Oro Money,Technology & Digital Innovation,Enterprise Software & Services,Customer Relationship Management
st-c-3766,Orobind,Healthcare & Life Sciences (MedTech & Biotech),Consumer Health & Wellness,Wellness & Fitness Technology
st-c-3767,Orowealth,Financial Services & FinTech,Investment & Wealth Tech,Personal Finance Management
st-c-3769,Orxa Energies,Automotive & Components,Auto Components,Battery & Energy Storage Systems
st-c-3770,Oryden Tech Labs,Healthcare & Life Sciences (MedTech & Biotech),Life Sciences & BioTech,Laboratory Services
st-c-3771,OSlash,Technology & Digital Innovation,Cloud Computing & Infrastructure,Cloud Storage Solutions
st-c-3772,Ossus Biorenewables,CleanTech & Sustainability,Water Management,Water Treatment & Purification
st-c-3773,Ostro Energy,Energy & Utilities,Energy Technology & Innovation,Distributed Energy Resources
st-c-3774,Otipy,Retail & Digital Commerce,Supply Chain & Distribution,Logistics Tech for Retail
st-c-3775,OTO Capital,Technology & Digital Innovation,Enterprise Software & Services,Software Development
st-c-3776,otopark,Entertainment & Media,Media Production & Distribution,OTT Platforms
st-c-3777,Ottonomy,Technology & Digital Innovation,Artificial Intelligence,Machine Learning
st-c-3779,Our Food,Agriculture & AgriTech,Agricultural Supply Chain,Agri-logistics & Warehousing
st-c-3780,OurEye.ai,Technology & Digital Innovation,Artificial Intelligence,Machine Learning
st-c-3781,Oust Labs,Education & EdTech,EdTech,Educational Apps & Mobile Learning
st-c-3782,Outplay,Retail & Digital Commerce,Niche E-Commerce Platforms,Luxury & Premium Goods Marketplaces
st-c-3783,OUWT,Entertainment & Media,Media Production & Distribution,OTT Platforms
st-c-3784,Overcart,Retail & Digital Commerce,Niche E-Commerce Platforms,Luxury & Premium Goods Marketplaces
st-c-3785,OwO,Technology & Digital Innovation,Enterprise Software & Services,Business Management Software
st-c-3786,Oxfordcaps,"Travel, Hospitality & Experiences",TravelTech,Alternative Accommodation Marketplaces
st-c-3787,Oxyzo,Financial Services & FinTech,Digital Lending & Neobanks,Education Loans & Financing
st-c-3788,OyBob,Retail & Digital Commerce,Niche E-Commerce Platforms,Pre-owned & Refurbished Marketplaces
