startt-ppa-id,personalInformation_name,company,designation,period
,Akshay Chaturvedi,NDTV,Student Representative / Side Hustle 3,Sep 2009 - Dec 2009
,Akshay Chaturvedi,Government of India,UHF Fellow / Side Hustle 2,Sep 2009 - Sep 2009
,Akshay Chaturvedi,The Indian Express,Intern,Jul 2009 - Aug 2009
,Akshay Chaturvedi,Project and Industrial Consultancy Pvt Ltd.,Intern / Side Hustle 1,Jun 2009 - Aug 2009
,Neha Kulwal,Mitgo,Managing Director APAC and India,Nov 2015 - Present
,Neha Kulwal,OMG - Optimise Media Group,Associate Director Client Services,Nov 2011 - Nov 2015
,Neha Kulwal,Compare Infobase Limited,Assistant Manager-Site Sales,Feb 2010 - Nov 2011
,Akshay Mittal,Stealth BioTech Startup,Founder,Jan 2023 - Present
,Akshay Mittal,Sagar Nutriments,Founder,Jan 2014 - Present
,Akshay Mittal,First Coffee Ventures,Partner,Jan 2014 - Present
,Akshay Mittal,Picante Mexican Grill,Founder,Jan 2011 - Present
,Akshay Mittal,The Boston Consulting Group (BCG),Consultant,Jan 2010 - Dec 2010
,Akshay Mittal,Strategic Decisions Group (SDG),Associate,Jan 2007 - Dec 2009
,Nikhil Agrawal,Benham & Reeves,Digital Marketing Director,Aug 2009 - Present
,Nikhil Agrawal,Eyebridge Soft Solutions Private Limited,Sr. SEO Professional & PHP Developer,Jan 2009 - Nov 2009
,Nikhil Agrawal,PROVAB TECHNOSOFT PVT. LTD.,Java Developer,Sep 2008 - Dec 2008
,Alex Kuruvilla,Girl Effect,Member Board of Directors,Feb 2024 - Present
,Alex Kuruvilla,CondÃ© Nast India,Chairman Emeritus,Jan 2006 - Present
,Alex Kuruvilla,SaveLIFE Foundation (SLF),Trustee,Jan 2016 - Present
,Alex Kuruvilla,Kochi Biennale Foundation - India,Advisor,Jan 2015 - Present
,Alex Kuruvilla,Angel Investor,nan,Jan 2000 - Present
,Alex Kuruvilla,MTV Networks Asia,Managing Director and EVP,Jan 1999 - Dec 2005
,"Nikhil Gupta, CFA",Poonji Mitra,Founder,Mar 2019 - Present
,"Nikhil Gupta, CFA",Do Good Ventures,Founder,Mar 2019 - Present
,"Nikhil Gupta, CFA",Metvy,Finance Mentor,Jun 2022 - Present
,"Nikhil Gupta, CFA",GCEC Global Foundation,Chief of Academic Finance,Aug 2022 - Present
,"Nikhil Gupta, CFA",Willis Towers Watson,Actuarial Analyst,Jun 2018 - Feb 2019
,"Nikhil Gupta, CFA",Enactus Kirori Mal,Head Of Finance,Apr 2017 - Jan 2018
,"Nikhil Gupta, CFA",Economics Society of Kirorimal College,Head Of Content,Sep 2016 - Mar 2017
,"Nikhil Gupta, CFA",Greymeter,Elite Featured Content Writer,Feb 2016 - May 2016
,Alisha Poonawalla,LeverEdge Legal,Partner,Oct 2024 - Present
,Alisha Poonawalla,APM Consulting,Managing Partner,May 2023 - Present
,Alisha Poonawalla,Global Market Studies,Partner,Apr 2020 - Present
,Alisha Poonawalla,GenderSense Compliance,Head Outreach,Jan 2018 - Jul 2023
,Alisha Poonawalla,Lawgicon Consultancy Services,Co-founder & Partner,Jul 2019 - May 2023
,Alisha Poonawalla,Place of Workship - Workspace & Studio,Co-Founder & Partner,Oct 2017 - Apr 2022
,Alisha Poonawalla,Public Transport Ombudsman,Conciliator,Dec 2014 - Aug 2015
,Alisha Poonawalla,Energy and Water Ombudsman (Victoria),Service and Resolutions Officer,Feb 2013 - Sep 2014
,Nikunj Doshi,Bay Capital,Executive Director,Sep 2007 - Present
,Nikunj Doshi,Kotak Mahindra AMC,Senior Vice President,Jul 2002 - Sep 2007
,Alok Garg,SPACIYA,Director,Aug 2018 - Present
,Alok Garg,TOWER INTERNATIONAL,CEO,Jan 2009 - Jan 2012
,Nikunj Jhaveri,H.E.L.M. Initiative,Co-Founder,Jan 2024 - Present
,Nikunj Jhaveri,Systems Plus Group of Companies,Chairman & Founder,Mar 1987 - Present
,Nikunj Jhaveri,Systems Plus Solutions,Owner,Jan 1985 - Present
,Nikunj Jhaveri,Systems Plus,President,Mar 1987 - Sep 2024
,Nikunj Jhaveri,"VeloCloud Networks, Inc.",Advisor,Jan 2014 - Jan 2014
,Nikunj Jhaveri,Fritolay Asia Pacific (Pepsico),Director - IT,Jan 1998 - Dec 2001
,Alok Sharma,Livprotec,Co-Founder & CEO,Sep 2020 - Present
,Alok Sharma,Andhra Pradesh Aerospace & Defence Electronics Pvt. Ltd.,Director,Jan 2016 - Present
,Alok Sharma,Nature Ecoventures,CEO & Director,Jul 2009 - Present
,Alok Sharma,Apple,"Managing Director, India",Oct 1994 - Jun 2009
,Alok Sharma,Sun Microsystems Pte. Ltd.,"Director, Partner Development - Asia South",Dec 1996 - Jul 2004
,Alok Sharma,Wipro Infotech Ltd.,Regional Sales Manager,May 1990 - Oct 1994
,Nilesh Ukey,Nickelfox Technologies,Founder and CEO,Jul 2014 - Present
,Nilesh Ukey,Ti3 Consulting,Member of the Board of Advisors for Web and Mobile App Development Practice,May 2024 - Present
,Nilesh Ukey,FreshMindWave,Founder,Jan 2024 - Present
,Nilesh Ukey,Callmatic.ai,Angel Investor,Jan 2024 - Present
,Nilesh Ukey,Curious Titans,Contributing Author,Apr 2022 - Present
,Nilesh Ukey,Currinda Pty Ltd,Angel Investor,Nov 2022 - Present
,Nilesh Ukey,"Helios Life Enterprises, Inc.",Angel Investor,Apr 2019 - Present
,Nilesh Ukey,Trainman,Angel Investor,Oct 2021 - Jul 2023
,Nilesh Ukey,Apna Haat Retail Private Limited,Technical Advisor,Sep 2015 - Dec 2016
,Nilesh Ukey,Fueled Technologies Pvt. Ltd,Senior iOS Developer,Jul 2010 - Jun 2014
,Nilesh Ukey,Ophio.,iOS Developer,Aug 2009 - Jul 2010
,Monica Gupta,Earlyseed Ventures,Co-Founder,Apr 2022 - Present
,Monica Gupta,BlueArc Advisors LLP,Senior Consultant,Oct 2020 - Present
,Monica Gupta,Venture Catalysts | India's First Integrated Incubator,Regional Partner,Apr 2020 - Present
,Monica Gupta,Sanjay Family Trust,Trustee,Oct 2015 - Present
,Monica Gupta,Cineraj Cinema,Owner,Oct 2015 - Present
,Monica Gupta,MN & Co. Chartered Accountants,Senior Consultant Financial Services,Jan 2010 - Present
,Monica Gupta,Corporate Connections - Navi Mumbai,Forum Chair,Aug 2023 - Dec 2024
,Ambrish Jaipuria,Cosmo Ferrites Limited,Chairman & Executive Director,Jan 2007 - Present
,Ambrish Jaipuria,Alisha Coils And Transformers (A Division Of Cosmo Ferrites Ltd),Chairman,Jan 2015 - Present
,Ambrish Jaipuria,PHD Chamber of Commerce and Industry,Chairman,Jan 2012 - Dec 2012
,Ambrish Jaipuria,Sterling Oxide Limited,MD,Jan 2003 - Dec 2007
,Nilesh Ukey,Nickelfox Technologies,Founder and CEO,Jul 2014 - Present
,Nilesh Ukey,Ti3 Consulting,Member of the Board of Advisors for Web and Mobile App development Practice,May 2024 - Present
,Nilesh Ukey,FreshMindWave,Founder,Jan 2024 - Present
,Nilesh Ukey,Callmatic,Angel Investor,Jan 2024 - Present
,Nilesh Ukey,Curious Titans,Contributing Author,Apr 2022 - Present
,Nilesh Ukey,Currinda Pty Ltd,Angel Investor,Nov 2022 - Present
,Nilesh Ukey,"Helios Life Enterprises, Inc.",Angel Investor,Apr 2019 - Present
,Nilesh Ukey,Trainman,Angel Investor,Oct 2021 - Jul 2023
,Nilesh Ukey,Apna Haat Retail Private Limited,Technical Advisor,Sep 2015 - Dec 2016
,Nilesh Ukey,Fueled Technologies Pvt. Ltd,Senior iOS Developer,Jul 2010 - Jun 2014
,Nilesh Ukey,Ophio.,iOS Developer,Aug 2009 - Jul 2010
,Ameya Chandavarkar,FDC Limited,CEO (International Business) and Executive Director,Feb 2000 - Present
,Ameya Chandavarkar,Medtronic,Market Development Manager,Mar 2008 - Aug 2009
,Ameya Chandavarkar,United Way of Central Florida (UWCF),Executive - Fund Raising,Jun 1999 - Dec 1999
,Niranjan Chavan,BrowserStack,Head of Business Operations & Strategy,Jul 2019 - Present
,Niranjan Chavan,Toppr,Chief Financial Officer,Aug 2017 - Jul 2019
,Niranjan Chavan,Compass Group,Senior Director,May 2015 - Aug 2017
,Niranjan Chavan,AECOM,Senior Business Manager,Jun 2011 - May 2015
,Niranjan Chavan,Capital One,Senior Business Analyst,Jun 2010 - Jun 2011
,Niranjan Chavan,Schlumberger,Engineer In-Charge (EIC),Aug 2005 - Aug 2008
,Amit Bhatiani,Canopy Advisors,Managing Partner,Mar 2015 - Present
,Amit Bhatiani,CX Partners,Partner,Jan 2008 - Mar 2015
,Amit Bhatiani,Duma Capital,Partner,Apr 2006 - Jul 2008
,Amit Bhatiani,Clinton Group,Analyst,May 2003 - Apr 2006
,Amit Bhatiani,Invertica Inc,CEO,Jan 2000 - Dec 2001
,Nirupa Shankar,Brigade Group,Jt. Managing Director,Jan 2013 - Present
,Nirupa Shankar,Ernst & Young US LLP,VP - BD & Strategy for Hospitality,Jun 2005 - Dec 2012
,Amit Burman,Dabur India Limited,Owner, - 
,Nitin C S,Cothas Coffee Co,Managing Partner,Oct 2005 - Present
,Amit Khera,McKinsey & Company,Senior Partner,Jun 2006 - Present
,Nitin Chandel,UKG,Group Vice President & India Country Manager,Aug 2024 - Present
,Nitin Chandel,BNY Mellon,"Managing Director & Head of BNY Mellon Technology, India",May 2018 - Sep 2023
,Nitin Chandel,Visa,"Senior Vice President, Developer Platform & India Site Head",Sep 2014 - Apr 2018
,Nitin Chandel,Microsoft,Partner Development Manager/Director of Development,Jun 2011 - Sep 2014
,Nitin Chandel,Ready Made Business Software,Senior Software Developer,May 1998 - Feb 2000
,Nitin Chandel,RSD Infotech,Software Design Engineer,Aug 1997 - May 1998
,Nitin Chandel,Amdale Software Technologies,Software Design Engineer,Aug 1996 - Jul 1997
,Amit Mantri,2Point2 Capital,Co-Founder,Mar 2016 - Present
,Amit Mantri,Hornbill Capital,Vice President,Mar 2015 - Feb 2016
,Amit Mantri,IDFC Alternatives,Associate,Dec 2014 - Mar 2015
,Amit Mantri,Zephyr Peacock India,Vice President,Apr 2010 - Nov 2014
,Amit Mantri,Standard Chartered Bank,Summer Intern,Apr 2009 - Jun 2009
,Amit Mantri,Strand Life Sciences,"Associate, Software",Jun 2007 - Apr 2008
,Amit Mantri,CRISIL Limited,Summer Intern,May 2005 - Jul 2005
,Nitin Kumar Garg,HandiCrunch,Director,Jul 2014 - Present
,Amit Mittal,Tata Motors Finance,Chief Financial Officer,Nov 2012 - Present
,Amit Mittal,Tata Motors Finance Solutions Limited,Chief Financial Officer,Apr 2015 - Apr 2018
,Amit Mittal,ICICI Bank,AGM-Financial Accounting & Reporting Group,Sep 2003 - Oct 2012
,Amit Mittal,A.F.Ferguson & Co,Asst Maganger-Audit,Nov 1998 - Sep 2003
,Nonita Kalra,Tata CLiQ Luxury,Editor In Chief,Feb 2021 - Present
,Nonita Kalra,Harper's Bazaar India,Editor,Mar 2016 - Jun 2020
,Nonita Kalra,Freelance Writing Services,Fashion Consultant,Jan 2013 - Jan 2016
,Nonita Kalra,"ELLE, India",Editor In Chief,Jun 2000 - Dec 2012
,Amitabh Singhal,ICANN,Board Member,Nov 2024 - Present
,Amitabh Singhal,Telxess Consulting Services Private Limited,Founder & Director,Oct 2006 - Present
,Amitabh Singhal,Digital Empowerment Foundation,Governing Board Member/ Secretary,Jan 2012 - Present
,Amitabh Singhal,Public Interest Registry,Board Director,Jun 2010 - Jun 2021
,Amitabh Singhal,Doorastha Analytics Pvt. Ltd.,"Co-Founder, Former Director & CEO",May 2017 - Oct 2018
,Amitabh Singhal,CSObGov,Core Member,Jan 2016 - Dec 2018
,Amitabh Singhal,Virtual Network Operators Association of India (MVNO),Former President,Jul 2016 - Sep 2017
,Amitabh Singhal,GTL Limited,Formerly Senior Vice President/Group Head - Corporate Affairs,Dec 1993 - Aug 2006
,Amitabh Singhal,National Internet Exchange of India (NIXI),"Founder, Member / Director and Former CEO",Jan 2002 - Oct 2005
,Amitabh Singhal,Internet Service Providers Association Of India,Co-Founder/President,Dec 1994 - Sep 2005
,Amitabh Singhal,"PCL Ltd., Network Ltd., ICIM Ltd.",Sales Manager,Jun 1986 - Nov 1993
,Noshir Kaka,McKinsey & Company,Director (Senior Partner),Jul 1994 - Present
,Noshir Kaka,Bentley's Hotel,Partner,Jan 1989 - Dec 1993
,Om Manchanda,Self-employed,"Investor, Board Member, Adviser, Entrepreneur",Apr 2025 - Present
,Om Manchanda,Dr Lal PathLabs,Managing Director,Oct 2005 - Apr 2025
,Om Manchanda,Ranbaxy,GM-International and Innovation,Jan 2003 - Oct 2005
,Om Manchanda,Monsanto,National Sales Manager,Nov 1999 - Jan 2003
,Om Manchanda,Hindustan Unilver Limited,nan, - 
,Om Manchanda,nan,Business Manager,Jun 1990 - Nov 1999
,Amrendra Singh,DeHaat,Co-Founder & Director,Feb 2012 - Present
,Amrendra Singh,Agri Gow,Founder,May 2011 - Jun 2012
,Amrendra Singh,FarmsnFarmers,Senior Manager,Aug 2011 - Feb 2012
,P S Jayakumar,HT Media Group,Independent Director,Aug 2022 - Present
,P S Jayakumar,Future Generali India Insurance Company Limited,Non Executive Chair,Jun 2022 - Present
,P S Jayakumar,VBHC VALUE HOMES PRIVATE LIMITED,Non Executive Chairman,Oct 2020 - Present
,P S Jayakumar,TVS Infra and Logistics Park Pvt Ltd,Independent Director,Apr 2021 - Present
,P S Jayakumar,CG Power and Industrial Solutions Limited,Independent Director,Dec 2020 - Present
,P S Jayakumar,Northern Arc Capital,Non Executive Chairman,Oct 2020 - Present
,P S Jayakumar,LIC Housing Finance AMC Ltd,Investment Committee,Sep 2020 - Present
,P S Jayakumar,Adani Port and Special Economic Zone Ltd,Independent Director,Jul 2020 - Present
,P S Jayakumar,Emcure Pharmaceuticals Limited,Independent Director,Jul 2020 - Present
,P S Jayakumar,Tata Motor Finance Ltd,Independent Director,Jul 2020 - Present
,P S Jayakumar,J M FINANCE LTD,Independent Director,Jul 2020 - Present
,P S Jayakumar,Indian Institute of Corporate Affairs,Board of Governor,Jul 2020 - Present
,P S Jayakumar,VBHC,Chairman,Aug 2019 - Present
,P S Jayakumar,TMF Holdings Ltd,Independent Director,Jul 2020 - Mar 2023
,P S Jayakumar,Bank of Baroda,CEO & Managing Director,Oct 2015 - Oct 2019
,P S Jayakumar,Value and Budget Housing Ltd,Co Founder and CEO,Apr 2009 - Oct 2015
,P S Jayakumar,"Citibank, India","Balance Sheet Management Head, Asia Pacific",Oct 2005 - Mar 2009
,Dr. Mousumi Ghosh,Future Oncology Hospital,Director,Sep 2017 - Present
,Dr. Mousumi Ghosh,Future Healthcare-Hospitals Diagonistics Polyclinics,Director,Jun 2015 - Present
,Dr. Mousumi Ghosh,Future Institute Of Engineering and Management,Founder Future Education and Research Trust,Jun 2002 - Present
,Dr. Mousumi Ghosh,Future Media School,Director,Jul 2015 - Oct 2023
,Dr. Mousumi Ghosh,Future School of Hospital Management,Director,Jul 2015 - Oct 2023
,Dr. Mousumi Ghosh,Future Institute of Technology,Director,Aug 2014 - Oct 2023
,Dr. Mousumi Ghosh,Future Campus School,Secretary,Apr 2006 - Oct 2023
,Dr. Mousumi Ghosh,Future Institute of Engineering and Management,Director,Jul 2002 - Oct 2023
,Dr. Mousumi Ghosh,"Indian Institute of Management, Calcutta",Former Faculty of Finance and Control,Aug 1989 - Aug 2001
,Anand Aryamane,Tuscan Ventures,Founding Member/ Senior Management,Sep 2007 - Present
,Anand Aryamane,Maersk Line,Senior Manager - Intermodal,Feb 1990 - May 2006
,Papa CJ,Senior Executives & Global Firms,Executive Coach and Keynote Speaker,Apr 2007 - Present
,Papa CJ,The Papa CJ Comedy Company,Chief Executive Officer,Apr 2012 - Present
,Papa CJ,Harvard Business Review,Contributing Author,Jul 2021 - Present
,Papa CJ,4P Consulting,Co-Founder & Board Member,Jan 2022 - Present
,Papa CJ,ESG Board,Charter Member,Mar 2022 - Present
,Papa CJ,OxbridgeGroup,Associate Director,May 2006 - May 2007
,Papa CJ,IBM,Management Consultant,Dec 2000 - May 2005
,Papa CJ,Various Global Firms,Stand-up Comedian and Host,Nov 2004 - Present
,Anand Kripalu,EPL Limited,Managing Director & Global CEO,Aug 2021 - Present
,Anand Kripalu,Royal Challengers Bengaluru (RCB),Chairman,Oct 2020 - Jun 2021
,Anand Kripalu,DIAGEO India,"MD & CEO; Member, Diageo Global Executive Committee",Oct 2013 - Jun 2021
,Anand Kripalu,MondelÄ“z International,"President, India and South East Asia",Mar 2010 - Sep 2013
,Anand Kripalu,Cadbury plc.,President Asia,Oct 2008 - Feb 2010
,Anand Kripalu,Unilever,"Managing Director, South Asia",Aug 2004 - Sep 2008
,Anand Kripalu,Unilever India,Various Sales and Marketing roles,Jun 1983 - Aug 2004
,Paul Breloff,Shortlist Professionals,Co-Founder & CEO,Jun 2016 - Present
,Paul Breloff,Nairobi Business Angel Network,Steering Committee Member,Apr 2021 - Present
,Paul Breloff,Jobtech Alliance,Steering Committee Member,Sep 2021 - Present
,Paul Breloff,Unreasonable,Fellow,Mar 2019 - Present
,Paul Breloff,Antler,Venture Partner,Jan 2022 - Jun 2024
,Paul Breloff,Mercy Corps AgriFin,Advisory Council Member - AgriFin Accelerate Program,Jun 2015 - May 2022
,Paul Breloff,Blue Haven Initiative,Senior Advisor,Feb 2016 - Jan 2020
,Paul Breloff,Accion,Senior Advisor,Jun 2016 - May 2018
,Paul Breloff,Accion Venture Lab,Founder & Managing Director,Jan 2012 - Jun 2016
,Paul Breloff,Middlebury Institute of International Studies at Monterey,Adjunct Professor,Jan 2013 - Dec 2016
,Paul Breloff,The Johns Hopkins University - Paul H. Nitze School of Advanced International Studies (SAIS),Adjunct Professor,Jan 2015 - May 2015
,Paul Breloff,Mayer Brown,Social Finance,Sep 2006 - Feb 2012
,Paul Breloff,CGAP,Technical Advisor,Jul 2009 - Feb 2012
,Paul Breloff,SKS Microfinance,VP Innovation & Business Development,Aug 2006 - Jul 2009
,Paul Breloff,McKinsey & Company,Summer Associate,May 2005 - Aug 2005
,Paul Breloff,Leo Burnett Advertising,Account Executive,Jan 2000 - Dec 2003
,Anandbir Singh,Anandini Financial Services - India,Proprietor,Jan 2007 - Present
,Pearl Agarwal,Eximius Ventures,Founder & General Partner,Mar 2020 - Present
,Pearl Agarwal,Self-employed,Angel Investor,Mar 2020 - Present
,Pearl Agarwal,DotReview,Co-Founder,Nov 2020 - Dec 2023
,Pearl Agarwal,Global Infrastructure Partners,Private Equity,Aug 2016 - Feb 2020
,Pearl Agarwal,Merrill Lynch,Investment Banking,Jul 2014 - Jul 2016
,Pearl Agarwal,UTIMCO,Private Markets,May 2012 - Aug 2012
,Aniket Nikumb,Appaloosa Foods,Co-Founder,Jul 2019 - Present
,Aniket Nikumb,Culinary Brands,Mensa Brands Founding Team,May 2021 - Sep 2024
,Aniket Nikumb,BRX Global,Investment Analyst,Jun 2018 - Jul 2019
,Aniket Nikumb,Apax Partners,Associate,Jan 2014 - Jun 2016
,Aniket Nikumb,McKinsey & Company,Business Analyst,Aug 2012 - Dec 2013
,Phani Kishan Addepalli,Swiggy,Co-founder,Mar 2015 - Present
,Phani Kishan Addepalli,InsanelyGood (by Swiggy),CEO,Oct 2021 - May 2023
,Phani Kishan Addepalli,Boston Consulting Group,Senior Associate,Jul 2013 - Mar 2015
,Phani Kishan Addepalli,The Boston Consulting Group,Summer Associate,Apr 2012 - Jun 2012
,Anil G,Bounce Infinity,Co-Founder,Apr 2021 - Present
,Anil G,Bounce,Co-Founder & COO,May 2014 - Present
,Anil G,American Tower,Finance Head - Karnataka,Feb 2013 - Nov 2013
,Anil G,Bharat Electronics,Assistant Manager - Finance & Accounts,Nov 2008 - Feb 2013
,Anil Goel,Nielsen,Global Chief Technology Officer,Jan 2024 - Present
,Anil Goel,BYJU'S,"President Technology & Group CTO, Byju's Group",Jan 2021 - Dec 2024
,Anil Goel,OYO,Group Chief Technology & Product Officer,Jan 2016 - Dec 2021
,Anil Goel,Amazon,Director Engineering and CTO Customer Returns & Reverse Logistics,Jan 2013 - Dec 2016
,Anil Goel,"HyperQuality, Inc.",Chief Technology Officer & Head of Product Management,Jan 2009 - Dec 2012
,Anil Goel,RealNetworks Inc.,"GM and CTO, Online Services",Jan 2000 - Dec 2009
,Anil Gupta,3M,President & Country Head- India,Nov 2010 - Nov 2012
,Anil Gupta,Honeywell,President & Country Head- India,Nov 2008 - Nov 2010
,Anil Gupta,GE Energy,"Global Marketing Executive, USA",Jan 1994 - Oct 2008
,Anil Gupta,ABB,"Senior Manager-Marketing and Business Development, Power Plant Services, India Region",Jan 1992 - Dec 1994
,Anil Gupta,NTPC,"Manager (Marketing), Consultancy Services",Jan 1978 - Dec 1992
,Anil Kommineni,Zenith Corp,Chief Technology Officer (CTO),Jan 2020 - Present
,Anil Kommineni,Innovatech Solutions,Senior Software Architect,Jan 2018 - Dec 2020
,Anil Kommineni,TechPioneers Inc.,Lead Developer,Jan 2015 - Dec 2018
,Anirban Aditya,Aditya Group India,Group Chairman,Jan 2008 - Present
,Anirudh Singla,Pepper,Founder & CEO,Oct 2017 - Present
,Anirudh Singla,The Hindu,Featured Columnist,Dec 2017 - Sep 2019
,Anirudh Singla,BITSMUN Pilani,Director Of Operations,Apr 2018 - Apr 2019
,Anirudh Singla,"APOGEE, BITS Pilani",CoStAAn (Head),Apr 2018 - Apr 2019
,Anirudh Singla,Qrius (formerly The Indian Economist),Category Manager - Politics,Jan 2017 - Apr 2018
,Anirudh Singla,MASH Project,Marketing and Communications Intern,Jun 2017 - Jul 2017
,Anirudh Singla,YourStory Media,Summer Intern,May 2017 - Jul 2017
,Mridula Chhetri,Transit Vigil,Co-Founder,Dec 2023 - Present
,Mridula Chhetri,Movidu Technology Pvt Ltd,Chief Business Officer,Mar 2020 - Present
,Mridula Chhetri,Multiple Startups,Chief Business Officer,Nov 2017 - Mar 2020
,Mridula Chhetri,NestAway Technologies Pvt Ltd,Head Business Development,Jan 2017 - Sep 2017
,Mridula Chhetri,IBM India Pvt Ltd,Recruitment Acquisition & Outsourcing Lead,Jun 2013 - May 2015
,Mridula Chhetri,Recruitment Business Controls Europe and MEA Regions,nan,Apr 2011 - Jun 2013
,Mridula Chhetri,HRTM for Bharti Airtel a ITSO deal,nan,Jan 2011 - Mar 2011
,Mridula Chhetri,nan,Assistant Manager,Apr 2009 - Jan 2011
,Mridula Chhetri,3S Pvt Ltd,Resource Head,Aug 2008 - Nov 2008
,Anita Dongre,And Designs India,Creative Director,Jan 1998 - Present
,Ankit Samrat,Samrat Investments,Chief Experience Officer,Feb 2015 - Present
,Ankit Samrat,Private Investor,nan,Jan 2014 - Present
,Ankit Samrat,Mamacasa,Founder,Jan 2017 - Present
,Ankit Samrat,LoveOnn,Founder,Feb 2017 - Present
,Ankit Samrat,Self-employed,Book Author,Feb 2013 - Present
,Ankit Maheshwari,Cars24,Vice President & Head of Finance,Dec 2016 - Aug 2024
,Ankit Maheshwari,Zupee,Head of Finance,Dec 2024 - Present
,Ankit Maheshwari,Inflection Point Ventures,Angel Investor,Nov 2021 - Present
,Ankit Maheshwari,DEN Networks Limited,Manager,Mar 2015 - Dec 2016
,Ankit Maheshwari,IBM,Team Lead,May 2013 - Mar 2015
,Ankit Tandon,OYO,"Global CBO and CEO OVH, SEAME, Latam and China",Aug 2015 - Present
,Ankit Tandon,McKinsey & Company,Engagement Manager,Aug 2010 - Aug 2015
,Ankit Tandon,ITC Limited,Asst Manager Operations,May 2003 - Mar 2009
,Ankur Bhatia,Jimmyâ€™s Brands,Founder - Jimmy's | HustleX,Apr 2020 - Present
,Ankur Bhatia,Riyalto,Investor,Jun 2022 - Present
,Ankur Bhatia,ZFW Dark Stores,Investor,Apr 2022 - Present
,Ankur Bhatia,Mahindra Group,Head Of Marketing - EV & Thar 2.0,Apr 2018 - Mar 2019
,Ankur Bhatia,Beam Suntory,Marketing Controller - Core Brands,Sep 2008 - Jun 2017
,Ankur Bhatia,Rediffusion Y&R,Account Director - LG,Mar 2008 - Sep 2008
,Ankur Bhatia,MensXP,Founder - MensXP.com,Jul 2005 - Aug 2008
,Ankur Bhatia,Motorola Mobility (a Lenovo Company),Assistant Brand Manager Marketing,Jun 2003 - Jun 2005
,Anshul Jindal,Oikocredit,"Global Head, Agriculture Investments",Mar 2020 - Present
,Anshul Jindal,Paiwand Studio,Advisor - Finance and Strategy,Oct 2018 - Present
,Anshul Jindal,Lendahand,Head of Investments,Oct 2021 - Oct 2024
,Anshul Jindal,responsAbility Investments AG,"Senior Investment Officer, Asia Pacific, Middle East and Eastern Europe",Jun 2013 - Mar 2020
,Anshul Jindal,SMC Capitals,"Associate Vice President, Investment Banking",Jun 2010 - Jun 2013
,Anshul Jindal,Rabobank,"Manager, Corporate and Investment Banking",May 2007 - Jun 2010
,Anshul Jindal,Hindustan Unilever Ltd,"Summer Intern, Commercial Division",Apr 2006 - Jun 2006
,Anshul Jindal,TCS,Business Analyst,Jan 2003 - Dec 2005
,Anuj Bishnoi,RePut.ai,Founder,Apr 2024 - Present
,Anuj Bishnoi,BBDaily | Morning Cart,Co Founder,Sep 2015 - Mar 2023
,Anuj Bishnoi,Bio Energy Products Pvt Ltd,Co-Founder,Nov 2007 - Jan 2015
,Anuj Bishnoi,Infosys,Specialist,Apr 2005 - Jun 2006
,Anuj Gupta,CLT Research LLP,Co-Founder,Jan 2019 - Present
,Anuj Gupta,Adda52.com,Founder,Jun 2011 - Apr 2019
,Anuj Gupta,Gaussian Networks Private Limited,Founder & CEO,Jun 2011 - Mar 2019
,Anuj Gupta,Poker Sports League,Co-Founder,Dec 2016 - Jul 2018
,Anuj Gupta,Zentrumâ„¢ Technologies Pvt Ltd,Co-founder and CEO,Aug 2008 - May 2011
,Anuj Gupta,HCL Technologies,Lead consultant business process consulting CRM,Aug 2007 - Jun 2008
,Anuj Gupta,Infosys,Consultant Enterprise solutions -CRM,Sep 2004 - Aug 2007
,Anuj Gupta,Ingersoll Rand,Manager sales North India (air compressors),Jun 2003 - Aug 2004
,Anuj Gupta,TCS,Software engineer,Feb 2001 - Aug 2001
,Anuj Saraiwala,Elluminate Capital,Managing Partner,Jul 2021 - Present
,Anuj Saraiwala,The RainMaker Group (TRMG),Principal,Jul 2018 - Jun 2021
,Anuj Saraiwala,o3 Capital,Associate,May 2015 - Jun 2018
,Anuj Sharma,ALSiSAR IMPACT,Founder,Dec 2017 - Present
,Anuj Sharma,CareEdge Group,"External Committee Member- ESG Rating,  & External Review/ Appeal Committee",Aug 2024 - Present
,Anuj Sharma,Tala,Independent Director,Oct 2019 - Present
,Anuj Sharma,IIM Calcutta Innovation Park,Member - Investment Committee,Mar 2024 - Present
,Anuj Sharma,Tata Institute of Social Sciences,Visiting Faculty,Jun 2019 - Present
,Anuj Sharma,Earth Analytics India Ltd.,Co-Founder,Apr 2018 - Present
,Anuj Sharma,Biotechnology Industry Research Assistance Council (BIRAC),SPARSH Expert Committee Member,Mar 2024 - Present
,Anuj Sharma,Unreasonable,Unreasonable Mentor,Aug 2023 - Present
,Anuj Sharma,IIT Mandi Catalyst,Member Seed Management Committee,Nov 2021 - Present
,Anuj Sharma,IRMA ISEED FOUNDATION,Member Seed Management Committee,Jun 2023 - Present
,Anuj Sharma,Siachen Naturals,Director,Oct 2022 - Present
,Anuj Sharma,AiRTH,Director,Jun 2020 - Present
,Anuj Sharma,Anuj S Sharma & Co (ASCo),Founder,Dec 2008 - Present
,Anuj Sharma,BRIGHTBLU,Director,Mar 2019 - Dec 2022
,Anuj Sharma,PKF,Sr Vice President,Jun 2004 - Nov 2008
,Aakash Anand,Unikon.ai,Co-Founder & CEO,Nov 2023 - Present
,Aakash Anand,Wolfpack Labs,Investor,Mar 2024 - Present
